번호,야영장명,주소,화로대,부대시설,주변이용가능시설,테마환경,반려동물출입,비수기_평일_가격,비수기_주말_가격,성수기_평일_가격,성수기_주말_가격,naver_id,states
1,데일리랜드 ,강원도 춘천시 동산면 윗성골길 36,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점",정보없음,정보없음,불가능,45000,58000,68000,81000,37830356,운영중
2,주식회사 디노 담양힐링파크 지점,전라남도 담양군 봉산면 탄금길 9-26,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트.편의점","운동장,강/물놀이,농어촌체험시설","낚시,여름물놀이",불가능,50000,65000,75000,90000,37275192,운영중
3,(주)쉐르빌리안티티,강원도 홍천군 서면 밤벌길19번길 111,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점",정보없음,정보없음,가능,45000,58000,68000,81000,NOT_FOUND,휴업
4,(주)아웃오브파크,강원도 춘천시 남면 가옹개길 52-9,개별,운동시설,수영장,정보없음,불가능,45000,58000,68000,81000,1952578638,운영중
5,(주)양촌여울체험캠프,경상남도 창원시 마산합포구 진전면 의산삼일로 60,개별,"전기,온수,물놀이장,산책로,마트.편의점","산책로,농어촌체험시설",정보없음,가능(소형견),55000,72000,82000,99000,986498469,운영중
6,어반슬로우시티,강원도 춘천시 남면 가옹개길 108,개별,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,36444900,운영중
7,이스케이프 지점 (휴토피아),강원도 홍천군 서면 팔봉산로 976,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점","낚시,강/물놀이",가을단풍명소,불가능,55000,72000,82000,99000,35452170,운영중
8,드림랜드오토캠핑장,경상북도 영천시 고경면 고도길 38,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","산책로,강/물놀이,청소년체험시설","봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능,45000,58000,68000,81000,21688926,운영중
9,제주 자연인 글램핑,제주도 제주시 아란서길 110-0,정보없음,운동시설,정보없음,정보없음,불가능,95000,124000,142000,171000,1358535566,운영중
10,(주)태평소금 천일염 힐링캠프,전라남도 신안군 증도면 지도증도로 1053-11,개별,"전기,장작판매,온수,물놀이장,놀이터,마트.편의점","산책로,낚시,해수욕,청소년체험시설","일출명소,일몰명소,낚시,걷기길",불가능,55000,72000,82000,99000,1468235770,운영중
11,353캠핑,경기도 포천시 영북면 산정리 353,정보없음,"전기,장작판매,온수,물놀이장,운동시설",정보없음,정보없음,불가능,50000,65000,75000,90000,1144761042,운영중
12,505펜션&캠핑(오공오),충청남도 공주시 사곡면 호계황골길 43,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","계곡 물놀이,낚시","액티비티,여름물놀이",불가능,50000,65000,75000,90000,35222100,운영중
13,(중복제거) 80 SS 오토캠핑장,경상북도 군위군 부계면 남산리 1138-4번지,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",산책로,여름물놀이,불가능,55000,72000,82000,99000,NOT_FOUND,휴업
14,A&J오토캠핑장,강원도 원주시 지정면 안창리 산 56-3,정보없음,전기,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
15,Camp＆Joy,전라남도 신안군 압해읍 압해로 201,정보없음,물놀이장,정보없음,정보없음,가능,45000,58000,68000,81000,NOT_FOUND,휴업
16,Camp 1950,경상북도 김천시 대덕면 남김천대로 160,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","계곡 물놀이,산책로,어린이놀이시설",여름물놀이,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
17,CLUB 596,충청남도 태안군 남면 몽산리 596,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로","산책로,수상레저,낚시,해수욕","일몰명소,여름물놀이,걷기길",불가능,50000,65000,75000,90000,NOT_FOUND,휴업
18,DMZ  마루 캠핑,경기도 연천군 중면 군중로 399,정보없음,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,낚시,청소년체험시설",정보없음,불가능,50000,65000,75000,90000,1219620968,운영중
19,DMZ 캠핑장,강원도 철원군 철원읍 독서당길 225-134,개별,"전기,무선인터넷,장작판매",계곡 물놀이,정보없음,불가능,45000,58000,68000,81000,80836776,운영중
